transaction_id,customer_id,transaction_amount,transaction_type,transaction_time,transaction_location,device_type,previous_transactions_count,new_beneficiary,device_changed,iban_valid,weekend,night_transaction,is_fraud
T0,C3715,93097.86,transfer,18:43,Berlin,mobile,40,1,1,1,1,0,0
T1,C7342,185053.56,deposit,00:11,Hamburg,ATM,42,0,1,0,1,1,0
T2,C9837,62288.36,deposit,03:54,Outside EU,ATM,67,1,1,1,0,1,1
T3,C3899,88974.91,transfer,15:42,Outside EU,mobile,11,1,1,0,0,0,1
T4,C8627,9539.82,deposit,09:36,Outside EU,desktop,23,0,1,0,1,0,0
T5,C2100,53516.68,withdrawal,07:05,Berlin,desktop,71,1,0,0,0,0,1
T6,C8802,106224.18,deposit,11:52,Frankfurt,mobile,17,1,1,0,1,0,1
T7,C2980,158182.08,payment,12:10,Berlin,desktop,93,1,1,1,1,0,0
T8,C9904,106177.56,transfer,18:59,Hamburg,mobile,36,0,0,0,0,0,0
T9,C2238,6803.41,withdrawal,20:02,Cologne,desktop,66,1,0,1,0,0,0
T10,C7345,330.84,payment,19:28,Munich,desktop,10,1,1,0,1,0,1
T11,C6155,184459.64,withdrawal,20:06,Cologne,desktop,61,0,0,0,0,0,0
T12,C6318,127934.88,withdrawal,14:15,Cologne,desktop,82,0,1,1,0,0,0
T13,C5892,132055.01,payment,04:45,Outside EU,mobile,98,1,1,1,0,1,1
T14,C5270,114494.82,payment,21:36,Cologne,desktop,72,0,1,1,1,0,0
T15,C8979,9039.77,payment,17:50,Cologne,ATM,65,1,0,0,0,0,1
T16,C1675,13498.98,transfer,07:15,Berlin,mobile,8,0,1,0,1,0,0
T17,C1301,70790.57,deposit,08:23,Hamburg,desktop,55,0,1,1,0,0,0
T18,C6049,153527.93,withdrawal,11:21,Cologne,mobile,16,1,1,1,1,0,0
T19,C1736,82766.96,deposit,04:12,Hamburg,mobile,42,1,1,0,1,1,1
T20,C5050,97460.78,transfer,20:01,Outside EU,desktop,14,1,1,0,0,0,1
T21,C5561,17233.57,transfer,18:28,Outside EU,mobile,39,1,0,0,1,0,1
T22,C6566,127879.11,payment,00:07,Outside EU,mobile,92,0,0,0,1,1,1
T23,C8550,195073.01,withdrawal,23:16,Munich,ATM,90,0,1,0,1,1,0
T24,C3001,165825.97,transfer,08:36,Hamburg,ATM,17,1,0,0,1,0,1
T25,C2214,3731.24,payment,12:07,Cologne,desktop,77,1,0,1,1,0,0
T26,C4052,53666.51,transfer,07:52,Munich,desktop,86,1,1,1,1,0,0
T27,C1849,93227.41,payment,02:34,Outside EU,mobile,79,0,1,1,1,1,1
T28,C5847,164080.86,withdrawal,05:04,Munich,mobile,14,0,0,1,0,1,0
