transaction_amount,transaction_type,hour,country,device,previous_transactions,new_beneficiary,new_device,foreign_country,weekend,is_fraud
89258.48,Card,3,Poland,Desktop,73,1,0,1,1,1
121082.74,SEPA,11,Germany,Desktop,98,1,1,1,0,1
15093.94,SEPA,11,Poland,Tablet,78,1,1,0,0,0
102196.83,SEPA,19,Poland,Tablet,73,1,0,1,0,1
44471.16,SEPA,7,Spain,Desktop,34,0,1,1,1,1
6036.82,Card,10,France,Mobile,22,1,1,0,0,0
68537.02,Wire,7,Belgium,Mobile,48,0,0,1,1,0
120311.39,Card,0,Germany,Tablet,110,0,1,0,1,1
91001.25,Transfer,5,Italy,Desktop,82,1,0,0,0,1
69652.11,Wire,20,France,Mobile,40,1,1,1,1,1
27773.92,Transfer,3,Austria,Desktop,9,1,0,1,0,1
36887.53,SEPA,6,Netherlands,Mobile,55,0,1,0,0,0
60279.59,Transfer,16,Poland,Desktop,21,0,1,1,0,1
110303.4,Card,8,France,Desktop,84,1,0,1,1,1
3643.25,Card,1,Poland,Tablet,116,1,0,1,1,1
115689.42,Card,10,Germany,Mobile,89,1,0,1,0,1
111986.51,Card,20,Romania,Mobile,42,0,1,0,1,0
102834.35,Card,18,France,Mobile,90,0,1,1,0,1
117740.45,Transfer,11,Austria,Mobile,97,1,1,0,0,1
13424.91,SEPA,21,Spain,Mobile,78,1,1,1,1,1
85315.8,SEPA,9,Spain,Mobile,60,1,1,1,1,1
36549.93,Transfer,18,Austria,Mobile,20,0,0,0,0,0
115561.95,Transfer,13,Belgium,Desktop,118,0,0,0,1,0
77405.77,SEPA,6,France,Mobile,114,0,0,1,1,0
113579.55,Wire,18,Spain,Desktop,50,1,0,0,0,0
67972.18,Wire,16,Romania,Tablet,70,1,1,1,1,1
140766.42,Transfer,22,Belgium,Desktop,35,0,1,1,1,1
43819.3,SEPA,21,Germany,Tablet,57,0,0,1,0,0
14101.68,Wire,4,Italy,Mobile,115,0,0,1,1,0
17857.75,Card,9,Poland,Mobile,92,0,1,1,0,0
120398.06,Card,19,Spain,Tablet,97,1,0,0,1,0
93250.32,Transfer,10,Belgium,Tablet,88,1,0,0,0,0
100405.59,Card,18,Romania,Desktop,73,0,1,1,0,1
116428.17,Transfer,0,Romania,Tablet,117,1,1,0,1,1
107916.8,Card,20,Germany,Desktop,100,1,0,0,1,0
38374.57,Wire,15,Netherlands,Tablet,61,0,1,0,1,0
